,index,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),League
0,0,2017-2018,1,Bayern Munich,38,27.4,66.1,34,27,3,4,92,28,64,84,2.47,75.8,31.7,44.1,1.3,75000,185051324,Bundesliga
1,6,2017-2018,2,Schalke 04,29,26.1,46.6,34,18,9,7,53,37,16,63,1.85,46.7,40.2,6.6,0.19,61197,42474540,Bundesliga
2,3,2017-2018,5,Leverkusen,27,24.0,54.6,34,15,10,9,58,44,14,55,1.62,57.5,38.9,18.6,0.55,28415,57923248,Bundesliga
3,7,2017-2018,3,Hoffenheim,36,25.0,51.2,34,15,10,9,66,48,18,55,1.62,50.5,47.2,3.3,0.1,28716,39546630,Bundesliga
4,1,2017-2018,4,Dortmund,33,25.9,59.1,34,15,10,9,64,47,17,55,1.62,66.0,42.2,23.8,0.7,79496,84471113,Bundesliga
5,5,2017-2018,6,RB Leipzig,28,23.4,55.0,34,15,8,11,57,53,4,53,1.56,51.9,46.7,5.2,0.15,39397,43215431,Bundesliga
6,9,2017-2018,7,Stuttgart,34,25.6,46.6,34,15,6,13,36,36,0,51,1.5,40.3,43.5,-3.1,-0.09,56045,29831438,Bundesliga
7,12,2017-2018,8,Eint Frankfurt,36,26.4,47.9,34,14,7,13,45,45,0,49,1.44,42.2,41.7,0.5,0.01,49159,26256394,Bundesliga
8,4,2017-2018,9,M'Gladbach,35,25.7,52.0,34,13,8,13,47,52,-5,47,1.38,51.1,52.0,-0.8,-0.02,50986,45530856,Bundesliga
9,13,2017-2018,10,Hertha BSC,32,26.4,46.1,34,10,13,11,43,46,-3,43,1.26,39.2,44.3,-5.1,-0.15,45319,25994483,Bundesliga
10,11,2017-2018,11,Werder Bremen,33,26.3,47.4,34,10,12,12,37,40,-3,42,1.24,38.9,45.1,-6.2,-0.18,38726,27785063,Bundesliga
11,16,2017-2018,12,Augsburg,33,26.6,45.7,34,10,11,13,43,46,-3,41,1.21,44.7,41.4,3.3,0.1,28238,16879548,Bundesliga
12,14,2017-2018,15,Freiburg,36,24.8,44.8,34,8,12,14,32,56,-24,36,1.06,39.6,46.1,-6.6,-0.19,23894,18401082,Bundesliga
13,15,2017-2018,14,Mainz 05,33,25.3,44.4,34,9,9,16,38,52,-14,36,1.06,35.4,47.9,-12.5,-0.37,28766,18159552,Bundesliga
14,2,2017-2018,16,Wolfsburg,33,25.1,49.3,34,6,15,13,36,48,-12,33,0.97,34.2,52.0,-17.8,-0.52,25712,59318416,Bundesliga
15,8,2017-2018,17,Hamburger SV,34,25.0,49.0,34,8,7,19,29,53,-24,31,0.91,37.7,55.9,-18.2,-0.54,50656,34882158,Bundesliga
16,10,2017-2018,18,Köln,38,25.3,47.4,34,5,7,22,35,70,-35,22,0.65,43.2,67.4,-24.1,-0.71,48776,29816147,Bundesliga
17,0,2018-2019,1,Bayern Munich,78,27.4,65.7,34,24,6,4,88,32,56,78,2.29,85.6,27.2,58.4,1.72,75000,197705635,Bundesliga
18,1,2018-2019,2,Dortmund,86,24.8,58.1,34,23,7,4,81,44,37,76,2.24,61.5,39.9,21.5,0.63,80841,98399310,Bundesliga
19,5,2018-2019,3,RB Leipzig,84,24.0,49.6,34,19,9,6,63,29,34,66,1.94,65.7,40.5,25.2,0.74,38380,55774453,Bundesliga
20,4,2018-2019,4,Leverkusen,82,25.3,59.8,34,18,4,12,69,52,17,58,1.71,58.3,44.0,14.3,0.42,27990,63293461,Bundesliga
21,3,2018-2019,6,Wolfsburg,98,25.4,53.3,34,16,7,11,62,50,12,55,1.62,47.6,48.3,-0.7,-0.02,24479,66851386,Bundesliga
