,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),League
0,2017-2018,1,Barcelona,33,27.7,62.8,38,28,9,1,99,29,70,93,2.45,83.5,41.9,41.6,1.09,67142.0,248123125.0,La Liga
1,2017-2018,2,Atlético Madrid,36,26.6,47.5,38,23,10,5,58,22,36,79,2.08,50.2,35.8,14.4,0.38,52707.0,100431417.0,La Liga
2,2017-2018,3,Real Madrid,32,27.1,60.2,38,22,10,6,94,44,50,76,2.0,85.4,43.2,42.2,1.11,66863.0,209320446.0,La Liga
3,2017-2018,4,Valencia,30,24.8,48.6,38,22,7,9,65,38,27,73,1.92,56.0,48.3,7.7,0.2,38607.0,61940590.0,La Liga
4,2017-2018,5,Villarreal,40,26.6,50.4,38,18,7,13,57,50,7,61,1.61,53.3,53.4,-0.1,0.0,16779.0,33208772.0,La Liga
5,2017-2018,6,Betis,31,27.1,56.9,38,18,6,14,60,61,-1,60,1.58,46.0,49.0,-3.1,-0.08,46781.0,25325944.0,La Liga
6,2017-2018,7,Sevilla,33,27.1,54.3,38,17,7,14,49,58,-9,58,1.53,59.5,54.4,5.2,0.14,33006.0,69891700.0,La Liga
7,2017-2018,8,Getafe,36,28.2,40.2,38,15,10,13,42,33,9,55,1.45,48.2,39.7,8.5,0.22,10428.0,14330747.0,La Liga
8,2017-2018,9,Eibar,33,27.4,52.0,38,14,9,15,44,50,-6,51,1.34,40.9,44.4,-3.5,-0.09,5338.0,18443882.0,La Liga
9,2017-2018,10,Girona,30,26.3,46.8,38,14,9,15,50,59,-9,51,1.34,50.6,50.4,0.2,0.01,10424.0,13813041.0,La Liga
10,2017-2018,12,Real Sociedad,30,25.9,56.5,38,14,7,17,66,59,7,49,1.29,53.7,50.5,3.1,0.08,19793.0,42308420.0,La Liga
11,2017-2018,13,Celta Vigo,65,25.7,55.7,38,13,10,15,59,60,-1,49,1.29,55.0,55.3,-0.3,-0.01,16195.0,42895429.0,La Liga
12,2017-2018,11,Espanyol,29,26.8,46.9,38,12,13,13,36,42,-6,49,1.29,41.1,52.3,-11.1,-0.29,17882.0,31534373.0,La Liga
