,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Amiens,30,27.5,43.3,38,418,3420,38.0,36,24,60,33,3,4,72,5,32.8,29.8,21.3,51.1,547,1178,0.95,0.63,1.58,0.87,1.5,0.86,0.56,1.42,0.78,1.35
1,Angers,27,27.1,45.1,38,418,3420,38.0,41,30,71,37,4,4,68,3,47.6,44.5,35.3,79.8,699,1430,1.08,0.79,1.87,0.97,1.76,1.25,0.93,2.18,1.17,2.1
2,Bordeaux,31,25.1,50.6,38,418,3420,38.0,52,36,88,48,4,6,73,2,51.0,46.1,35.9,82.0,875,1501,1.37,0.95,2.32,1.26,2.21,1.34,0.94,2.29,1.21,2.16
3,Caen,26,27.3,45.5,38,418,3420,38.0,25,19,44,20,5,8,68,4,42.8,36.6,29.6,66.3,598,1548,0.66,0.5,1.16,0.53,1.03,1.13,0.78,1.91,0.96,1.74
4,Dijon,26,26.6,48.4,38,418,3420,38.0,52,36,88,47,5,5,69,5,41.6,37.8,29.2,67.0,659,1320,1.37,0.95,2.32,1.24,2.18,1.09,0.77,1.86,1.0,1.76
5,Guingamp,23,27.2,49.7,38,418,3420,38.0,46,27,73,40,6,7,65,2,45.5,40.1,30.0,70.1,763,1519,1.21,0.71,1.92,1.05,1.76,1.2,0.79,1.99,1.06,1.85
6,Lille,25,22.6,53.8,38,418,3420,38.0,41,31,72,39,2,2,59,6,36.4,34.8,29.7,64.5,831,1581,1.08,0.82,1.89,1.03,1.84,0.96,0.78,1.74,0.92,1.7
7,Lyon,26,24.4,55.6,38,418,3420,38.0,85,62,147,79,6,7,71,2,63.4,58.3,43.9,102.2,949,1670,2.24,1.63,3.87,2.08,3.71,1.67,1.15,2.82,1.53,2.69
8,Marseille,26,27.2,57.8,38,418,3420,38.0,79,54,133,74,5,8,81,2,78.1,71.7,55.9,127.6,947,1586,2.08,1.42,3.5,1.95,3.37,2.06,1.47,3.53,1.89,3.36
9,Metz,36,27.4,45.5,38,418,3420,38.0,33,27,60,30,3,4,78,7,40.3,37.2,30.0,67.3,589,1518,0.87,0.71,1.58,0.79,1.5,1.06,0.79,1.85,0.98,1.77
10,Monaco,32,25.8,50.9,38,418,3420,38.0,83,56,139,76,7,8,70,4,62.3,56.1,43.1,99.2,735,1742,2.18,1.47,3.66,2.0,3.47,1.64,1.13,2.77,1.48,2.61
11,Montpellier,23,26.4,47.0,38,418,3420,38.0,36,28,64,36,0,2,72,1,42.6,41.0,31.0,72.1,749,1572,0.95,0.74,1.68,0.95,1.68,1.12,0.82,1.94,1.08,1.9
12,Nantes,30,25.6,43.7,38,418,3420,38.0,36,24,60,32,4,5,63,6,41.8,37.9,29.4,67.3,559,1405,0.95,0.63,1.58,0.84,1.47,1.1,0.77,1.87,1.0,1.77
13,Nice,31,25.0,58.1,38,418,3420,38.0,52,35,87,44,8,10,80,4,49.2,41.7,31.9,73.6,841,1637,1.37,0.92,2.29,1.16,2.08,1.3,0.84,2.14,1.1,1.94
14,Paris S-G,28,26.1,66.3,38,418,3420,38.0,100,75,175,93,7,9,65,6,86.1,79.3,65.1,144.4,1044,2068,2.63,1.97,4.61,2.45,4.42,2.26,1.71,3.98,2.09,3.8
15,Rennes,28,24.2,49.9,38,418,3420,38.0,48,32,80,42,6,8,64,5,49.8,43.6,33.0,76.5,619,1505,1.26,0.84,2.11,1.11,1.95,1.31,0.87,2.18,1.15,2.01
16,Saint-Étienne,30,26.6,51.3,38,418,3420,38.0,45,31,76,38,7,11,71,8,51.0,42.8,35.4,78.2,732,1552,1.18,0.82,2.0,1.0,1.82,1.34,0.93,2.27,1.13,2.06
17,Strasbourg,25,27.2,49.1,38,418,3420,38.0,43,26,69,36,7,7,71,4,45.5,40.0,29.8,69.8,658,1289,1.13,0.68,1.82,0.95,1.63,1.2,0.78,1.98,1.05,1.84
18,Toulouse,25,23.9,45.7,38,418,3420,38.0,35,24,59,27,8,11,92,3,45.5,37.0,29.1,66.1,667,1473,0.92,0.63,1.55,0.71,1.34,1.2,0.77,1.96,0.97,1.74
19,Troyes,25,26.7,42.6,38,418,3420,38.0,30,21,51,28,2,3,76,7,38.0,35.7,26.5,62.2,564,1333,0.79,0.55,1.34,0.74,1.29,1.0,0.7,1.7,0.94,1.64
