,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,Regular season,1.0,Fri,2018-08-10,20:45,Marseille,3.2,4–0,0.3,Toulouse,60756.0,Orange Vélodrome,Ruddy Buquet,Match Report,
1,Regular season,1.0,Sat,2018-08-11,17:00,Nantes,1.4,1–3,2.6,Monaco,32760.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
2,Regular season,1.0,Sat,2018-08-11,20:00,Montpellier,1.3,1–2,2.0,Dijon,12765.0,Stade de la Mosson,Florent Batta,Match Report,
3,Regular season,1.0,Sat,2018-08-11,20:00,Nice,1.2,0–1,0.3,Reims,21421.0,Stade de Nice,Johan Hamel,Match Report,
4,Regular season,1.0,Sat,2018-08-11,20:00,Saint-Étienne,0.8,2–1,1.6,Guingamp,26006.0,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
5,Regular season,1.0,Sat,2018-08-11,20:00,Lille,1.7,3–1,0.5,Rennes,25708.0,Stade Pierre-Mauroy,Willy Delajod,Match Report,
6,Regular season,1.0,Sat,2018-08-11,20:00,Angers,2.8,3–4,1.5,Nîmes,9534.0,Stade Raymond Kopa,Antony Gautier,Match Report,
7,Regular season,1.0,Sun,2018-08-12,15:00,Lyon,1.4,2–0,0.4,Amiens,48263.0,Groupama Stadium,Franck Schneider,Match Report,
8,Regular season,1.0,Sun,2018-08-12,17:00,Bordeaux,0.2,0–2,1.5,Strasbourg,23079.0,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,
9,Regular season,1.0,Sun,2018-08-12,21:00,Paris S-G,3.0,3–0,0.2,Caen,47289.0,Parc des Princes,Benoît Bastien,Match Report,
10,,,,,,,,,,,,,,,
11,Regular season,2.0,Fri,2018-08-17,20:45,Reims,0.6,1–0,1.1,Lyon,18917.0,Stade Auguste-Delaune II,Ruddy Buquet,Match Report,
12,Regular season,2.0,Sat,2018-08-18,17:00,Guingamp,1.1,1–3,2.6,Paris S-G,19003.0,Stade du Roudourou,Clément Turpin,Match Report,
