,League Rank,Squad,# of Players,Avg Age,Avg Poss,Annual Wages,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Paris S-G,35,26.1,66.3,"€ 202,564,000 (£ 169,851,608, $206,435,344)",38,29,6,3,108,29,79,93,2.45,86.1,34.3,51.7,1.36,46930
1,2,Monaco,38,25.8,50.9,"€ 68,350,000 (£ 57,312,046, $69,656,287)",38,24,8,6,85,45,40,80,2.11,62.3,48.5,13.8,0.36,9243
2,4,Marseille,29,27.2,57.8,"€ 52,282,000 (£ 43,838,893, $53,281,198)",38,22,11,5,80,47,33,77,2.03,78.1,41.8,36.3,0.96,46616
3,3,Lyon,34,24.4,55.6,"€ 37,073,000 (£ 31,086,023, $37,781,525)",38,23,9,6,87,43,44,78,2.05,63.4,40.1,23.3,0.61,44047
4,17,Lille,32,22.6,53.8,"€ 27,084,000 (£ 22,710,158, $27,601,617)",38,10,8,20,41,67,-26,38,1.0,36.4,57.9,-21.5,-0.57,31453
5,8,Nice,39,25.0,58.1,"€ 21,810,000 (£ 18,287,868, $22,226,825)",38,15,9,14,53,52,1,54,1.42,49.2,49.5,-0.3,-0.01,22876
6,7,Saint-Étienne,40,26.6,51.3,"€ 20,480,000 (£ 17,172,650, $20,871,408)",38,15,10,13,47,50,-3,55,1.45,51.0,54.1,-3.1,-0.08,27563
7,6,Bordeaux,37,25.1,50.6,"€ 19,603,000 (£ 16,437,274, $19,977,645)",38,16,7,15,53,48,5,55,1.45,51.0,43.6,7.5,0.2,26048
8,18,Toulouse,28,23.9,45.7,"€ 18,743,000 (£ 15,716,163, $19,101,212)",38,9,10,19,38,54,-16,37,0.97,45.5,52.1,-6.6,-0.17,16929
9,9,Nantes,36,25.6,43.7,"€ 14,781,000 (£ 12,393,992, $15,063,490)",38,14,10,14,36,41,-5,52,1.37,41.8,38.1,3.7,0.1,24559
10,5,Rennes,35,24.2,49.9,"€ 14,155,000 (£ 11,869,086, $14,425,526)",38,16,10,12,50,44,6,58,1.53,49.8,49.3,0.5,0.01,23111
11,20,Metz,44,27.4,45.5,"€ 13,202,000 (£ 11,069,988, $13,454,314)",38,6,8,24,34,76,-42,26,0.68,40.3,71.3,-31.0,-0.81,14844
12,13,Amiens,34,27.5,43.3,"€ 12,330,000 (£ 10,338,805, $12,565,645)",38,12,9,17,37,42,-5,45,1.18,32.8,54.9,-22.1,-0.58,9521
13,10,Montpellier,30,26.4,47.0,"€ 12,006,000 (£ 10,067,131, $12,235,453)",38,11,18,9,36,33,3,51,1.34,42.6,39.0,3.6,0.1,13458
14,11,Dijon,35,26.6,48.4,"€ 11,005,000 (£ 9,227,786, $11,215,324)",38,13,9,16,55,73,-18,48,1.26,41.6,63.8,-22.2,-0.58,12228
15,15,Strasbourg,31,27.2,49.1,"€ 10,804,000 (£ 9,059,242, $11,010,479)",38,9,11,18,44,67,-23,38,1.0,45.5,58.4,-12.9,-0.34,24064
16,16,Caen,33,27.3,45.5,"€ 10,459,000 (£ 8,769,954, $10,658,893)",38,10,8,20,27,52,-25,38,1.0,42.8,48.0,-5.2,-0.14,17187
17,14,Angers,33,27.1,45.1,"€ 10,130,000 (£ 8,494,086, $10,323,602)",38,9,14,15,42,52,-10,41,1.08,47.6,45.8,1.8,0.05,11065
18,12,Guingamp,30,27.2,49.7,"€ 9,212,000 (£ 7,724,338, $9,388,060)",38,12,11,15,48,59,-11,47,1.24,45.5,49.0,-3.5,-0.09,14502
19,19,Troyes,30,26.7,42.6,"€ 6,870,000 (£ 5,760,548, $7,001,300)",38,9,6,23,32,59,-27,33,0.87,38.0,52.0,-14.0,-0.37,11723
