,Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
0,1,Paris S-G,94,"€ 3,863,346 (£ 3,239,448, $3,937,181)","€ 200,894,000 (£ 168,451,304, $204,733,422)",100%
1,2,Monaco,116,"€ 1,579,635 (£ 1,324,537, $1,609,824)","€ 82,141,000 (£ 68,875,918, $83,710,853)",100%
2,3,Marseille,87,"€ 1,448,192 (£ 1,214,321, $1,475,870)","€ 75,306,000 (£ 63,144,716, $76,745,228)",100%
3,4,Lyon,90,"€ 925,365 (£ 775,927, $943,051)","€ 48,119,000 (£ 40,348,183, $49,038,638)",100%
4,5,Nice,94,"€ 578,558 (£ 485,125, $589,615)","€ 30,085,000 (£ 25,226,523, $30,659,976)",100%
5,6,Lille,78,"€ 537,673 (£ 450,843, $547,949)","€ 27,959,000 (£ 23,443,859, $28,493,341)",100%
6,7,Rennes,96,"€ 513,058 (£ 430,203, $522,863)","€ 26,679,000 (£ 22,370,570, $27,188,881)",100%
7,8,Saint-Étienne,91,"€ 444,096 (£ 372,378, $452,584)","€ 23,093,000 (£ 19,363,673, $23,534,345)",100%
8,9,Bordeaux,91,"€ 439,538 (£ 368,557, $447,939)","€ 22,856,000 (£ 19,164,951, $23,292,819)",100%
9,10,Nantes,97,"€ 438,635 (£ 367,799, $447,018)","€ 22,809,000 (£ 19,125,542, $23,244,917)",100%
10,11,Toulouse,95,"€ 354,346 (£ 297,122, $361,118)","€ 18,426,000 (£ 15,450,357, $18,778,150)",100%
11,12,Guingamp,86,"€ 316,096 (£ 265,049, $322,137)","€ 16,437,000 (£ 13,782,565, $16,751,140)",100%
12,13,Angers,90,"€ 299,846 (£ 251,424, $305,577)","€ 15,592,000 (£ 13,074,026, $15,889,986)",100%
13,14,Strasbourg,88,"€ 263,135 (£ 220,641, $268,164)","€ 13,683,000 (£ 11,473,310, $13,944,506)",100%
14,15,Montpellier,80,"€ 254,442 (£ 213,352, $259,305)","€ 13,231,000 (£ 11,094,305, $13,483,867)",100%
15,16,Reims,92,"€ 253,577 (£ 212,626, $258,423)","€ 13,186,000 (£ 11,056,572, $13,438,006)",100%
16,17,Caen,91,"€ 238,923 (£ 200,339, $243,489)","€ 12,424,000 (£ 10,417,631, $12,661,444)",100%
17,18,Dijon,83,"€ 237,885 (£ 199,468, $242,431)","€ 12,370,000 (£ 10,372,351, $12,606,411)",100%
18,19,Amiens,86,"€ 217,981 (£ 182,779, $222,147)","€ 11,335,000 (£ 9,504,493, $11,551,631)",100%
19,20,Nîmes,84,"€ 171,269 (£ 143,611, $174,542)","€ 8,906,000 (£ 7,467,755, $9,076,207)",100%
