,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2019-08-09,20:45,Monaco,0.6,0–3,0.8,Lyon,10000.0,Stade Louis II.,Ruddy Buquet,Match Report,
1,1.0,Sat,2019-08-10,17:30,Marseille,0.9,0–2,1.2,Reims,52887.0,Orange Vélodrome,Jérôme Brisard,Match Report,
2,1.0,Sat,2019-08-10,20:00,Montpellier,2.9,0–1,1.2,Rennes,15212.0,Stade de la Mosson,Willy Delajod,Match Report,
3,1.0,Sat,2019-08-10,20:00,Dijon,2.1,1–2,1.0,Saint-Étienne,14334.0,Stade Gaston Gérard,Thomas Léonard,Match Report,
4,1.0,Sat,2019-08-10,20:00,Angers,1.6,3–1,1.0,Bordeaux,10749.0,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Match Report,
5,1.0,Sat,2019-08-10,20:00,Brest,2.2,1–1,1.5,Toulouse,14238.0,Stade Francis-Le Blé,Olivier Thual,Match Report,
6,1.0,Sat,2019-08-10,20:00,Nice,1.8,2–1,0.8,Amiens,17719.0,Stade de Nice,Jérémie Pignard,Match Report,
7,1.0,Sun,2019-08-11,15:00,Lille,1.3,2–1,0.6,Nantes,34494.0,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
8,1.0,Sun,2019-08-11,17:00,Strasbourg,1.7,1–1,0.3,Metz,25476.0,Stade de la Meinau,Antony Gautier,Match Report,
9,1.0,Sun,2019-08-11,21:00,Paris S-G,3.5,3–0,0.3,Nîmes,47151.0,Parc des Princes,Clément Turpin,Match Report,
10,,,,,,,,,,,,,,
11,2.0,Fri,2019-08-16,20:45,Lyon,1.1,6–0,0.4,Angers,49871.0,Groupama Stadium,Benoît Millot,Match Report,
12,2.0,Sat,2019-08-17,17:30,Nantes,0.5,0–0,1.2,Marseille,34832.0,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
13,2.0,Sat,2019-08-17,20:00,Bordeaux,1.2,1–1,0.8,Montpellier,30192.0,Stade Matmut-Atlantique,Franck Schneider,Match Report,
14,2.0,Sat,2019-08-17,20:00,Nîmes,1.5,1–2,1.9,Nice,13243.0,Stade des Costières,François Letexier,Match Report,
15,2.0,Sat,2019-08-17,20:00,Toulouse,1.5,1–0,1.3,Dijon,10583.0,Stadium Municipal,Ruddy Buquet,Match Report,
16,2.0,Sat,2019-08-17,20:00,Metz,2.6,3–0,0.8,Monaco,19088.0,Stade Saint-Symphorien,Eric Wattellier,Match Report,
17,2.0,Sat,2019-08-17,20:00,Amiens,1.0,1–0,0.3,Lille,12481.0,Stade Crédit Agricole la Licorne,Karim Abed,Match Report,
18,2.0,Sun,2019-08-18,15:00,Saint-Étienne,2.3,1–1,0.5,Brest,28645.0,Stade Geoffroy-Guichard,Johan Hamel,Match Report,
19,2.0,Sun,2019-08-18,17:00,Reims,0.5,0–0,0.4,Strasbourg,13714.0,Stade Auguste-Delaune II,Florent Batta,Match Report,
20,2.0,Sun,2019-08-18,21:00,Rennes,1.2,2–1,1.0,Paris S-G,28596.0,Roazhon Park,Antony Gautier,Match Report,
21,,,,,,,,,,,,,,
22,3.0,Sat,2019-08-24,20:00,Amiens,0.4,1–2,2.4,Nantes,11393.0,Stade Crédit Agricole la Licorne,Jeremy Stinat,Match Report,
23,3.0,Sat,2019-08-24,20:00,Dijon,0.4,0–2,0.6,Bordeaux,12471.0,Stade Gaston Gérard,François Letexier,Match Report,
24,3.0,Sat,2019-08-24,20:00,Brest,0.5,1–0,1.0,Reims,13958.0,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Match Report,
