,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Paris S-G,28,21,3,4,68,28,40,66,2.36,59.7,32.3,27.3,0.98,W W W W L,42929,Kylian Mbappé - 19,Gianluigi Donnarumma,
1,2,Marseille,29,18,6,5,54,29,25,60,2.07,49.0,36.1,12.9,0.44,L W D W D,58650,Alexis Sánchez - 12,Pau López,
2,3,Lens,28,16,9,3,47,21,26,57,2.04,49.9,30.5,19.4,0.69,W D D W W,37531,Loïs Openda - 14,Brice Samba,
3,4,Monaco,28,16,6,6,57,37,20,54,1.93,47.5,37.5,10.0,0.36,W L D L W,7427,Wissam Ben Yedder - 17,Alexander Nübel,
4,5,Rennes,28,15,5,8,47,29,18,50,1.79,43.5,35.1,8.4,0.3,W W L D W,27572,"Amine Gouiri, Martin Terrier - 9",Steve Mandanda,
5,6,Lille,28,14,7,7,51,36,15,49,1.75,51.5,32.2,19.2,0.69,L W D D W,35408,Jonathan David - 19,Lucas Chevalier,
6,7,Nice,28,11,11,6,37,25,12,44,1.57,38.9,31.4,7.5,0.27,D W D D D,19982,Gaëtan Laborde - 8,Kasper Schmeichel,
7,8,Lorient,28,12,8,8,41,37,4,44,1.57,34.9,43.1,-8.2,-0.29,W L D W D,14481,Terem Moffi - 12,Vito Mannone,
8,9,Reims,28,10,13,5,36,28,8,43,1.54,45.6,35.6,10.0,0.36,D W W W L,11577,Folarin Balogun - 17,Yehvann Diouf,
9,10,Lyon,28,11,8,9,43,32,11,41,1.46,43.3,36.1,7.2,0.26,L W D D D,43729,Alexandre Lacazette - 17,Anthony Lopes,
10,11,Montpellier,29,11,4,14,45,48,-3,37,1.28,37.3,46.5,-9.2,-0.32,D W W W D,12491,Sepe Elye Wahi - 12,Jonas Omlin,
11,12,Toulouse,28,10,5,13,43,48,-5,35,1.25,39.1,42.8,-3.7,-0.13,L L L W L,22932,Thijs Dallinga - 10,Maxime Dupé,
12,13,Clermont Foot,28,9,7,12,27,40,-13,34,1.21,30.7,47.4,-16.7,-0.6,L D W L L,11173,"Saîf-Eddine Khaoui, Komnen Andrić... - 4",Mory Diaw,
13,14,Nantes,28,6,12,10,30,37,-7,30,1.07,32.0,36.2,-4.2,-0.15,L L L D D,30250,"Ludovic Blas, Mostafa Mohamed - 6",Alban Lafont,
14,15,Strasbourg,28,5,11,12,34,46,-12,26,0.93,34.6,47.1,-12.5,-0.45,W D L D W,23553,Habib Diallo - 14,Matz Sels,
15,16,Brest,28,5,9,14,30,46,-16,24,0.86,30.8,44.3,-13.5,-0.48,L L W L D,12103,Jérémy Le Douaron - 6,Marco Bizot,
16,17,Auxerre,28,5,8,15,23,51,-28,23,0.82,29.6,41.5,-11.9,-0.42,W W D D L,15174,"M'Baye Niang, Nuno da Costa... - 3",Benoît Costil,
17,18,Troyes,28,4,9,15,38,61,-23,21,0.75,31.8,54.8,-22.9,-0.82,L L D L D,8941,Mama Samba Baldé - 10,Gauthier Gallon,
18,19,Ajaccio,28,6,3,19,20,50,-30,21,0.75,32.1,37.8,-5.7,-0.2,L W L L L,6880,Youcef Belaïli - 6,Benjamin Leroy,
19,20,Angers,28,2,4,22,21,63,-42,10,0.36,32.0,45.3,-13.4,-0.48,L L L L L,9664,Sofiane Boufal - 4,Paul Bernardoni,
