,Rk_x,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated,Rk_y,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,Year
0,1,Paris S-G,32,"€ 7,439,231 (£ 6,694,970, $7,158,330)","€ 386,840,000 (£ 348,138,457, $372,233,147)",34%,1,28,21,3,4,68,28,40,66,2.36,59.7,32.3,27.3,0.98,W W W W L,42929,Kylian Mbappé - 19,Gianluigi Donnarumma,,2022
1,2,Marseille,28,"€ 994,808 (£ 895,282, $957,244)","€ 51,730,000 (£ 46,554,653, $49,776,705)",58%,2,29,18,6,5,54,29,25,60,2.07,49.0,36.1,12.9,0.44,L W D W D,58650,Alexis Sánchez - 12,Pau López,,2022
2,3,Monaco,28,"€ 884,615 (£ 796,114, $851,213)","€ 46,000,000 (£ 41,397,917, $44,263,068)",72%,4,28,16,6,6,57,37,20,54,1.93,47.5,37.5,10.0,0.36,W L D L W,7427,Wissam Ben Yedder - 17,Alexander Nübel,,2022
3,4,Lyon,27,"€ 747,308 (£ 672,543, $719,090)","€ 38,860,000 (£ 34,972,236, $37,392,668)",73%,10,28,11,8,9,43,32,11,41,1.46,43.3,36.1,7.2,0.26,L W D D D,43729,Alexandre Lacazette - 17,Anthony Lopes,,2022
4,5,Nice,27,"€ 570,192 (£ 513,147, $548,662)","€ 29,650,000 (£ 26,683,656, $28,530,433)",79%,7,28,11,11,6,37,25,12,44,1.57,38.9,31.4,7.5,0.27,D W D D D,19982,Gaëtan Laborde - 8,Kasper Schmeichel,,2022
5,6,Lille,25,"€ 337,115 (£ 303,389, $324,386)","€ 17,530,000 (£ 15,776,205, $16,868,075)",82%,6,28,14,7,7,51,36,15,49,1.75,51.5,32.2,19.2,0.69,L W D D W,35408,Jonathan David - 19,Lucas Chevalier,,2022
6,7,Rennes,28,"€ 311,923 (£ 280,717, $300,145)","€ 16,220,000 (£ 14,597,266, $15,607,541)",76%,5,28,15,5,8,47,29,18,50,1.79,43.5,35.1,8.4,0.3,W W L D W,27572,"Amine Gouiri, Martin Terrier - 9",Steve Mandanda,,2022
7,8,Nantes,27,"€ 267,885 (£ 241,084, $257,769)","€ 13,930,000 (£ 12,536,367, $13,404,013)",50%,14,28,6,12,10,30,37,-7,30,1.07,32.0,36.2,-4.2,-0.15,L L L D D,30250,"Ludovic Blas, Mostafa Mohamed - 6",Alban Lafont,,2022
8,9,Strasbourg,26,"€ 224,615 (£ 202,144, $216,134)","€ 11,680,000 (£ 10,511,471, $11,238,970)",73%,15,28,5,11,12,34,46,-12,26,0.93,34.6,47.1,-12.5,-0.45,W D L D W,23553,Habib Diallo - 14,Matz Sels,,2022
9,10,Reims,27,"€ 174,615 (£ 157,146, $168,022)","€ 9,080,000 (£ 8,171,586, $8,737,143)",80%,9,28,10,13,5,36,28,8,43,1.54,45.6,35.6,10.0,0.36,D W W W L,11577,Folarin Balogun - 17,Yehvann Diouf,,2022
10,11,Montpellier,27,"€ 169,615 (£ 152,646, $163,211)","€ 8,820,000 (£ 7,937,599, $8,486,961)",92%,11,29,11,4,14,45,48,-3,37,1.28,37.3,46.5,-9.2,-0.32,D W W W D,12491,Sepe Elye Wahi - 12,Jonas Omlin,,2022
11,12,Angers,34,"€ 152,692 (£ 137,416, $146,927)","€ 7,940,000 (£ 7,145,641, $7,640,191)",93%,20,28,2,4,22,21,63,-42,10,0.36,32.0,45.3,-13.4,-0.48,L L L L L,9664,Sofiane Boufal - 4,Paul Bernardoni,,2022
12,13,Lens,25,"€ 140,385 (£ 126,340, $135,084)","€ 7,300,000 (£ 6,569,670, $7,024,357)",100%,3,28,16,9,3,47,21,26,57,2.04,49.9,30.5,19.4,0.69,W D D W W,37531,Loïs Openda - 14,Brice Samba,,2022
13,14,Brest,25,"€ 125,385 (£ 112,840, $120,650)","€ 6,520,000 (£ 5,867,704, $6,273,807)",61%,16,28,5,9,14,30,46,-16,24,0.86,30.8,44.3,-13.5,-0.48,L L W L D,12103,Jérémy Le Douaron - 6,Marco Bizot,,2022
14,15,Toulouse,26,"€ 109,423 (£ 98,476, $105,291)","€ 5,690,000 (£ 5,120,743, $5,475,148)",100%,12,28,10,5,13,43,48,-5,35,1.25,39.1,42.8,-3.7,-0.13,L L L W L,22932,Thijs Dallinga - 10,Maxime Dupé,,2022
15,16,Lorient,25,"€ 103,654 (£ 93,284, $99,740)","€ 5,390,000 (£ 4,850,756, $5,186,477)",96%,8,28,12,8,8,41,37,4,44,1.57,34.9,43.1,-8.2,-0.29,W L D W D,14481,Terem Moffi - 12,Vito Mannone,,2022
16,17,Troyes,28,"€ 97,115 (£ 87,399, $93,448)","€ 5,050,000 (£ 4,544,770, $4,859,314)",68%,18,28,4,9,15,38,61,-23,21,0.75,31.8,54.8,-22.9,-0.82,L L D L D,8941,Mama Samba Baldé - 10,Gauthier Gallon,,2022
17,18,Auxerre,33,"€ 80,192 (£ 72,169, $77,164)","€ 4,170,000 (£ 3,752,810, $4,012,543)",96%,17,28,5,8,15,23,51,-28,23,0.82,29.6,41.5,-11.9,-0.42,W W D D L,15174,"M'Baye Niang, Nuno da Costa... - 3",Benoît Costil,,2022
18,19,Clermont Foot,26,"€ 47,885 (£ 43,094, $46,077)","€ 2,490,000 (£ 2,240,887, $2,395,978)",100%,13,28,9,7,12,27,40,-13,34,1.21,30.7,47.4,-16.7,-0.6,L D W L L,11173,"Saîf-Eddine Khaoui, Komnen Andrić... - 4",Mory Diaw,,2022
19,20,Ajaccio,31,"€ 46,154 (£ 41,536, $44,411)","€ 2,400,000 (£ 2,159,891, $2,309,378)",100%,19,28,6,3,19,20,50,-30,21,0.75,32.1,37.8,-5.7,-0.2,L W L L L,6880,Youcef Belaïli - 6,Benjamin Leroy,,2022
