,Season,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,Attendance,Venue,Referee,xG Diff,Actual Diff,League
0,2017-2018,1.0,2017-08-04,20:45,Monaco,Toulouse,3,2,2.0,0.3,13572.0,Stade Louis II.,Clément Turpin,1.7,1.0,Ligue1
1,2017-2018,1.0,2017-08-05,17:15,Paris S-G,Amiens,2,0,2.6,0.3,46898.0,Parc des Princes,Mikael Lesage,2.3000000000000003,2.0,Ligue1
2,2017-2018,1.0,2017-08-05,20:00,Lyon,Strasbourg,4,0,1.8,0.5,1979.0,Groupama Stadium,Ruddy Buquet,1.3,4.0,Ligue1
3,2017-2018,1.0,2017-08-05,20:00,Saint-Étienne,Nice,1,0,0.9,0.5,25879.0,Stade Geoffroy-Guichard,François Letexier,0.4,1.0,Ligue1
4,2017-2018,1.0,2017-08-05,20:00,Metz,Guingamp,1,3,0.6,1.9,14595.0,Stade Saint-Symphorien,Jérôme Miguelgorry,-1.2999999999999998,-2.0,Ligue1
5,2017-2018,1.0,2017-08-05,20:00,Montpellier,Caen,1,0,1.4,0.4,14725.0,Stade de la Mosson,Thomas Léonard,0.9999999999999999,1.0,Ligue1
6,2017-2018,1.0,2017-08-05,20:00,Troyes,Rennes,1,1,1.9,2.2,9968.0,Stade de l'Aube,Karim Abed,-0.30000000000000027,0.0,Ligue1
7,2017-2018,1.0,2017-08-06,15:00,Lille,Nantes,3,0,1.9,1.3,30683.0,Stade Pierre-Mauroy,Benoît Millot,0.5999999999999999,3.0,Ligue1
8,2017-2018,1.0,2017-08-06,17:00,Angers,Bordeaux,2,2,1.2,1.7,11767.0,Stade Raymond Kopa,Sébastien Desiage,-0.5,0.0,Ligue1
9,2017-2018,1.0,2017-08-06,21:00,Marseille,Dijon,3,0,2.1,0.6,50904.0,Orange Vélodrome,Benoît Bastien,1.5,3.0,Ligue1
11,2017-2018,2.0,2017-08-11,19:00,Nice,Troyes,1,2,2.3,0.5,24260.0,Stade de Nice,Olivier Thual,1.7999999999999998,-1.0,Ligue1
12,2017-2018,2.0,2017-08-11,20:45,Rennes,Lyon,1,2,1.0,1.4,24944.0,Roazhon Park,Nicolas Rainville,-0.3999999999999999,-1.0,Ligue1
13,2017-2018,2.0,2017-08-12,17:00,Nantes,Marseille,0,1,1.3,1.6,33654.0,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,-0.30000000000000004,-1.0,Ligue1
14,2017-2018,2.0,2017-08-12,20:00,Caen,Saint-Étienne,0,1,0.9,1.1,17606.0,Stade Michel d'Ornano,Stéphane Jochem,-0.20000000000000007,-1.0,Ligue1
