,Season,Round,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,xG Diff,Actual Diff,Attendance,Venue,Referee
0,2017-2018,Group stage,1,2017-09-12,19:45,Chelsea,Qarabağ FK,6.0,0.0,2.0,0.3,1.7,6.0,41150.0,Stamford Bridge,Tasos Sidiropoulos
1,2017-2018,Group stage,1,2017-09-12,19:45,Celtic,Paris S-G,0.0,5.0,0.4,2.5,-2.1,-5.0,57562.0,Celtic Park,Daniele Orsato
2,2017-2018,Group stage,1,2017-09-12,19:45,Manchester Utd,Basel,3.0,0.0,3.4,0.6,2.8,3.0,73854.0,Old Trafford,Ruddy Buquet
3,2017-2018,Group stage,1,2017-09-12,19:45,Benfica,CSKA Moscow,1.0,2.0,2.1,1.6,0.5,-1.0,38323.0,Estádio do Sport Lisboa e Benfica,Alberto Undiano
4,2017-2018,Group stage,1,2017-09-12,20:45,Roma,Atlético Madrid,0.0,0.0,0.5,2.4,-1.9,0.0,36064.0,Stadio Olimpico,Milorad Mažić
5,2017-2018,Group stage,1,2017-09-12,20:45,Barcelona,Juventus,3.0,0.0,0.9,0.7,0.20000000000000007,3.0,78656.0,Camp Nou,Damir Skomina
6,2017-2018,Group stage,1,2017-09-12,20:45,Bayern Munich,Anderlecht,3.0,0.0,4.2,0.8,3.4000000000000004,3.0,70000.0,Allianz Arena,Paolo Tagliavento
7,2017-2018,Group stage,1,2017-09-12,21:45,Olympiacos,Sporting CP,2.0,3.0,1.1,2.6,-1.5,-1.0,30168.0,Stadio Georgios Karaiskáki,Viktor Kassai
8,2017-2018,Group stage,1,2017-09-13,19:45,Porto,Beşiktaş,1.0,3.0,1.5,0.9,0.6,-2.0,42429.0,Estádio Do Dragão,Anthony Taylor
9,2017-2018,Group stage,1,2017-09-13,19:45,Liverpool,Sevilla,2.0,2.0,2.4,1.2,1.2,0.0,52332.0,Anfield,Danny Makkelie
10,2017-2018,Group stage,1,2017-09-13,19:45,Tottenham,Dortmund,3.0,1.0,1.2,0.8,0.3999999999999999,2.0,67343.0,Wembley Stadium,Gianluca Rocchi
11,2017-2018,Group stage,1,2017-09-13,20:45,NK Maribor,Spartak Moscow,1.0,1.0,1.1,1.8,-0.7,0.0,12566.0,Ljudski vrt,Deniz Aytekin
12,2017-2018,Group stage,1,2017-09-13,20:45,Feyenoord,Manchester City,0.0,4.0,0.3,1.3,-1.0,-4.0,43500.0,Stadion Feijenoord,Szymon Marciniak
13,2017-2018,Group stage,1,2017-09-13,20:45,RB Leipzig,Monaco,1.0,1.0,0.9,1.1,-0.20000000000000007,0.0,40068.0,Red Bull Arena,Michael Oliver
14,2017-2018,Group stage,1,2017-09-13,20:45,Real Madrid,APOEL FC,3.0,0.0,3.9,0.2,3.6999999999999997,3.0,71060.0,Estadio Santiago Bernabéu,Benoît Bastien
15,2017-2018,Group stage,1,2017-09-13,21:45,Shakhtar,Napoli,2.0,1.0,1.4,1.9,-0.5,1.0,32679.0,L'viv Arena,Felix Zwayer
16,2017-2018,Group stage,2,2017-09-26,19:45,Manchester City,Shakhtar,2.0,0.0,3.2,0.5,2.7,2.0,45310.0,Academy Stadium,Jorge de Sousa
17,2017-2018,Group stage,2,2017-09-26,20:45,Sevilla,NK Maribor,3.0,0.0,3.9,0.4,3.5,3.0,34705.0,Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakov
18,2017-2018,Group stage,2,2017-09-26,20:45,Dortmund,Real Madrid,1.0,3.0,1.2,3.2,-2.0,-2.0,65849.0,Signal Iduna Park,Björn Kuipers
19,2017-2018,Group stage,2,2017-09-26,20:45,Monaco,Porto,0.0,3.0,0.6,2.9,-2.3,-3.0,11703.0,Stade Louis II.,Slavko Vinčić
20,2017-2018,Group stage,2,2017-09-26,20:45,Napoli,Feyenoord,3.0,1.0,0.9,1.6,-0.7000000000000001,2.0,22577.0,Stadio San Paolo,William Collum
21,2017-2018,Group stage,2,2017-09-26,21:45,Spartak Moscow,Liverpool,1.0,1.0,0.2,2.8,-2.5999999999999996,0.0,43376.0,Otkrytie Arena,Clément Turpin
